Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Verified,Word_Count,Review_Length,Average_Rating,Recommendation_Status,Verification_Status,Rating_Level,Date_Flown_Clean,Year,Month,Month_Name
Family Leisure,Business Class,San Francisco to London,July 2022,4.0,5.0,4.0,4.0,4.0,4.0,yes,yes,84,497,4.166666666666667,Recommended,Verified,High Rating,2022-07-01,2022,7,July
Solo Leisure,Economy Class,London to Amman,May 2022,1.0,1.0,,,1.0,1.0,no,yes,113,567,1.0,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Family Leisure,Economy Class,Edinburgh to Washington via London,July 2022,2.0,2.0,2.0,,1.0,1.0,no,yes,451,2373,1.6,Not Recommended,Verified,Low Rating,2022-07-01,2022,7,July
Couple Leisure,Economy Class,Vancouver to Amsterdam via London,June 2022,5.0,5.0,5.0,5.0,1.0,1.0,no,no,353,2019,3.6666666666666665,Not Recommended,Not Verified,Medium Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,Sao Paulo to Heathrow ,July 2022,1.0,2.0,3.0,1.0,3.0,3.0,yes,no,80,475,2.1666666666666665,Recommended,Not Verified,Low Rating,2022-07-01,2022,7,July
Couple Leisure,Economy Class,London to Reykjavik,May 2022,3.0,4.0,1.0,,1.0,4.0,yes,yes,250,1492,2.6,Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Business,Economy Class,Belfast to London,July 2022,4.0,5.0,2.0,,2.0,4.0,yes,yes,42,252,3.4,Recommended,Verified,Medium Rating,2022-07-01,2022,7,July
Unknown,Business Class,London to Malaga,July 2022,,,,,,1.0,no,yes,117,633,1.0,Not Recommended,Verified,Low Rating,2022-07-01,2022,7,July
Couple Leisure,Business Class,London to Toronto,July 2022,5.0,5.0,5.0,5.0,5.0,5.0,yes,no,59,340,5.0,Recommended,Not Verified,High Rating,2022-07-01,2022,7,July
Family Leisure,Business Class,London to Los Angeles,July 2022,4.0,4.0,4.0,5.0,5.0,4.0,yes,yes,256,1396,4.333333333333333,Recommended,Verified,High Rating,2022-07-01,2022,7,July
Family Leisure,Economy Class,Washington to London,July 2022,1.0,1.0,,,1.0,1.0,no,yes,116,635,1.0,Not Recommended,Verified,Low Rating,2022-07-01,2022,7,July
Solo Leisure,Premium Economy,Nairobi to New York via London,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,no,no,174,931,1.0,Not Recommended,Not Verified,Low Rating,2022-07-01,2022,7,July
Couple Leisure,Business Class,Dublin to London City,July 2022,4.0,4.0,3.0,,1.0,1.0,no,no,248,1305,2.6,Not Recommended,Not Verified,Low Rating,2022-07-01,2022,7,July
Solo Leisure,Premium Economy,Venice to Baltimore via London Heathrow,July 2022,3.0,3.0,3.0,2.0,1.0,2.0,no,no,60,354,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2022-07-01,2022,7,July
Couple Leisure,Premium Economy,London to Nairobi,June 2022,,,,,,1.0,no,no,186,959,1.0,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,London Heathrow to Johannesburg,June 2022,1.0,3.0,3.0,2.0,2.0,4.0,no,yes,213,1141,2.5,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Family Leisure,Economy Class,Belfast to London,June 2022,,,,,1.0,1.0,no,no,49,260,1.0,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Family Leisure,Business Class,Unknown,June 2022,2.0,2.0,2.0,2.0,1.0,1.0,no,no,83,464,1.6666666666666667,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,London to Paris,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,no,no,104,578,1.0,Not Recommended,Not Verified,Low Rating,2021-07-01,2021,7,July
Business,Business Class,Miami to Paris,June 2022,3.0,4.0,4.0,2.0,3.0,1.0,no,no,204,1014,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Family Leisure,Economy Class,Edmonton to Cairo,June 2022,2.0,2.0,1.0,1.0,1.0,2.0,no,no,43,238,1.5,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Premium Economy,Amsterdam to Montreal via London,June 2022,2.0,2.0,2.0,2.0,2.0,2.0,no,no,112,633,2.0,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Solo Leisure,Economy Class,Hong Kong to London,April 2022,,,,,,1.0,no,yes,467,2555,1.0,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Family Leisure,Economy Class,Belfast to London,June 2022,3.0,1.0,2.0,,1.0,1.0,no,yes,203,1099,1.6,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Business,Economy Class,London to Johannesburg,June 2022,1.0,4.0,1.0,2.0,3.0,2.0,no,no,109,616,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,Paris CDG to London Heathrow,June 2022,1.0,4.0,1.0,1.0,2.0,1.0,no,yes,110,609,1.6666666666666667,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Business Class,Portland to London,June 2022,2.0,4.0,2.0,2.0,4.0,2.0,no,yes,174,998,2.6666666666666665,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Business,Business Class,London to Malaga,June 2022,3.0,2.0,2.0,,2.0,3.0,no,yes,261,1412,2.4,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,Boston to Edinburgh via Heathrow,June 2022,1.0,4.0,4.0,3.0,1.0,1.0,no,no,117,607,2.3333333333333335,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,Edmonton to Santorini via Toronto / London,June 2022,1.0,1.0,,,1.0,1.0,no,no,229,1252,1.0,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Solo Leisure,Economy Class,Vancouver to London,June 2022,1.0,2.0,1.0,3.0,2.0,3.0,no,yes,134,826,2.0,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Business Class,London to san Francisco,June 2022,4.0,4.0,3.0,5.0,2.0,4.0,yes,yes,80,466,3.6666666666666665,Recommended,Verified,Medium Rating,2022-06-01,2022,6,June
Business,Economy Class,London to Amsterdam,June 2022,2.0,2.0,,,2.0,1.0,no,yes,105,542,1.75,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Premium Economy,Cancun to London Gatwick,June 2022,4.0,3.0,2.0,4.0,3.0,3.0,no,no,314,1863,3.1666666666666665,Not Recommended,Not Verified,Medium Rating,2022-06-01,2022,6,June
Couple Leisure,Economy Class,Phoenix to Hamburg via London,June 2022,2.0,2.0,3.0,4.0,1.0,1.0,no,no,138,804,2.1666666666666665,Not Recommended,Not Verified,Low Rating,2022-06-01,2022,6,June
Family Leisure,Business Class,Dallas Fort-Worth to Toulouse via London,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,120,691,1.0,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Couple Leisure,Business Class,London to Thira,June 2022,5.0,5.0,5.0,,5.0,5.0,yes,yes,27,166,5.0,Recommended,Verified,High Rating,2022-06-01,2022,6,June
Family Leisure,Economy Class,Islamabad to Manchester via Gatwick,April 2022,5.0,5.0,5.0,,5.0,4.0,yes,yes,149,802,4.8,Recommended,Verified,High Rating,2022-04-01,2022,4,April
Solo Leisure,Business Class,Vancouver to London,June 2022,4.0,5.0,3.0,4.0,2.0,5.0,yes,yes,38,250,3.8333333333333335,Recommended,Verified,Medium Rating,2022-06-01,2022,6,June
Business,Economy Class,London to Boston,May 2022,4.0,5.0,5.0,,5.0,3.0,yes,yes,295,1720,4.4,Recommended,Verified,High Rating,2022-05-01,2022,5,May
Solo Leisure,Economy Class,Johannesburg to Toronto via London,May 2022,4.0,4.0,4.0,,4.0,3.0,yes,no,114,673,3.8,Recommended,Not Verified,Medium Rating,2022-05-01,2022,5,May
Couple Leisure,Economy Class,Zurich to London,February 2022,,,,,1.0,1.0,no,yes,242,1309,1.0,Not Recommended,Verified,Low Rating,2022-02-01,2022,2,February
Couple Leisure,Business Class,Johannesburg to London Heathrow,April 2022,4.0,4.0,3.0,,3.0,3.0,yes,no,81,473,3.4,Recommended,Not Verified,Medium Rating,2022-04-01,2022,4,April
Couple Leisure,Business Class,Miami to Zurich via London,May 2022,4.0,3.0,3.0,4.0,1.0,1.0,no,yes,70,407,2.6666666666666665,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Family Leisure,Economy Class,Bridgetown to London ,May 2022,1.0,5.0,1.0,3.0,3.0,1.0,no,yes,203,1130,2.3333333333333335,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Family Leisure,Business Class,London to Malaga,May 2022,,,,,,2.0,no,no,145,783,2.0,Not Recommended,Not Verified,Low Rating,2022-05-01,2022,5,May
Couple Leisure,Business Class,Dubrovnik to London,May 2022,2.0,2.0,1.0,,4.0,1.0,no,no,74,391,2.0,Not Recommended,Not Verified,Low Rating,2022-05-01,2022,5,May
Couple Leisure,Economy Class,Amsterdam to London,May 2022,2.0,1.0,1.0,,1.0,1.0,no,yes,83,468,1.2,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Business,Economy Class,Columbus to Nairobi via Chicago / London,May 2022,,,,,,1.0,no,yes,232,1206,1.0,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Solo Leisure,Economy Class,London to Geneva,March 2022,,,,,,1.0,no,no,244,1318,1.0,Not Recommended,Not Verified,Low Rating,2022-03-01,2022,3,March
Solo Leisure,Business Class,London to Mauritius,March 2022,,,,,1.0,1.0,no,yes,262,1356,1.0,Not Recommended,Verified,Low Rating,2022-03-01,2022,3,March
Solo Leisure,Economy Class,London Heathrow to Malaga,May 2022,3.0,2.0,1.0,1.0,1.0,3.0,no,yes,92,492,1.8333333333333333,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Solo Leisure,Economy Class,Basel to Johannesburg via London,May 2022,1.0,2.0,2.0,2.0,1.0,2.0,no,no,51,324,1.6666666666666667,Not Recommended,Not Verified,Low Rating,2022-05-01,2022,5,May
Couple Leisure,Business Class,Athens to London,May 2022,2.0,4.0,3.0,,3.0,2.0,no,yes,66,389,2.8,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Solo Leisure,Premium Economy,London to Mexico City,April 2022,5.0,4.0,4.0,3.0,4.0,4.0,yes,yes,93,537,4.0,Recommended,Verified,High Rating,2022-04-01,2022,4,April
Business,Economy Class,Glasgow to New York,May 2022,3.0,4.0,4.0,4.0,1.0,1.0,no,no,100,550,2.8333333333333335,Not Recommended,Not Verified,Low Rating,2022-05-01,2022,5,May
Solo Leisure,Economy Class,London Heathrow to Los Angeles,May 2022,1.0,5.0,,,4.0,1.0,no,no,327,1610,2.75,Not Recommended,Not Verified,Low Rating,2022-05-01,2022,5,May
Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May 2022,5.0,5.0,5.0,5.0,5.0,5.0,yes,yes,28,189,5.0,Recommended,Verified,High Rating,2022-05-01,2022,5,May
Solo Leisure,Economy Class,Los Angeles to London,May 2022,,,,,,1.0,no,yes,197,1076,1.0,Not Recommended,Verified,Low Rating,2022-05-01,2022,5,May
Solo Leisure,Economy Class,London to Cape Town,April 2022,2.0,1.0,2.0,,1.0,1.0,no,no,317,1663,1.4,Not Recommended,Not Verified,Low Rating,2022-04-01,2022,4,April
Solo Leisure,Economy Class,São Paulo to Milan via London,April 2022,5.0,5.0,5.0,5.0,5.0,5.0,yes,yes,73,364,5.0,Recommended,Verified,High Rating,2022-04-01,2022,4,April
Family Leisure,Business Class,Madrid to London Heathrow,April 2022,3.0,5.0,5.0,,5.0,4.0,yes,yes,165,886,4.4,Recommended,Verified,High Rating,2022-04-01,2022,4,April
Couple Leisure,Business Class,Dubrovnik to London Heathrow,April 2022,4.0,5.0,5.0,,5.0,5.0,yes,no,139,753,4.8,Recommended,Not Verified,High Rating,2022-04-01,2022,4,April
Business,Business Class,London to Aberdeen,April 2022,1.0,2.0,1.0,,3.0,1.0,no,yes,142,815,1.6,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Solo Leisure,Business Class,Pisa to London Heathrow,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,no,yes,211,1166,1.0,Not Recommended,Verified,Low Rating,2022-03-01,2022,3,March
Couple Leisure,Economy Class,Johannesburg to Durban,April 2022,1.0,1.0,1.0,,1.0,1.0,no,no,66,402,1.0,Not Recommended,Not Verified,Low Rating,2022-04-01,2022,4,April
Couple Leisure,Economy Class,Gothenburg to Manchester via London,April 2022,3.0,3.0,1.0,,1.0,1.0,no,no,79,432,1.8,Not Recommended,Not Verified,Low Rating,2022-04-01,2022,4,April
Solo Leisure,Business Class,Chicago to London,March 2022,5.0,5.0,5.0,4.0,3.0,4.0,yes,no,48,243,4.333333333333333,Recommended,Not Verified,High Rating,2022-03-01,2022,3,March
Couple Leisure,Economy Class,Riyadh to Nice via London,April 2022,2.0,3.0,2.0,3.0,1.0,2.0,no,yes,189,1018,2.1666666666666665,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Couple Leisure,Business Class,London to Glasgow,April 2022,,,,,,1.0,no,yes,247,1431,1.0,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Family Leisure,Economy Class,Glasgow to Washington via London,April 2022,4.0,5.0,4.0,3.0,4.0,3.0,yes,no,81,438,3.8333333333333335,Recommended,Not Verified,Medium Rating,2022-04-01,2022,4,April
Business,Business Class,Malaga to London,April 2022,2.0,4.0,2.0,,2.0,2.0,no,yes,166,916,2.4,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Couple Leisure,Economy Class,Nice to Dallas via London,April 2022,5.0,5.0,4.0,5.0,5.0,4.0,yes,no,56,264,4.666666666666667,Recommended,Not Verified,High Rating,2022-04-01,2022,4,April
Solo Leisure,Economy Class,London to Paris,March 2022,1.0,1.0,1.0,,1.0,3.0,no,no,174,932,1.4,Not Recommended,Not Verified,Low Rating,2022-03-01,2022,3,March
Couple Leisure,Business Class,Phoenix to Paris via London,April 2022,3.0,2.0,2.0,1.0,2.0,2.0,no,yes,355,1845,2.0,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Business,Business Class,Phoenix to London Heathrow,April 2022,5.0,5.0,5.0,5.0,4.0,5.0,yes,yes,41,283,4.833333333333333,Recommended,Verified,High Rating,2022-04-01,2022,4,April
Couple Leisure,Economy Class,Santorini to Los Angeles via London,April 2022,1.0,1.0,1.0,,1.0,1.0,no,yes,184,973,1.0,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Family Leisure,Business Class,London to Tokyo,June 2022,,,,,,1.0,no,yes,120,632,1.0,Not Recommended,Verified,Low Rating,2022-06-01,2022,6,June
Solo Leisure,Business Class,Edinburgh to London City,April 2022,5.0,5.0,5.0,,5.0,4.0,yes,no,134,733,4.8,Recommended,Not Verified,High Rating,2022-04-01,2022,4,April
Solo Leisure,Business Class,Vancouver to London,March 2022,4.0,4.0,4.0,4.0,2.0,5.0,yes,no,109,564,3.8333333333333335,Recommended,Not Verified,Medium Rating,2022-03-01,2022,3,March
Couple Leisure,Business Class,London to Venice,March 2022,2.0,4.0,2.0,,2.0,3.0,yes,yes,32,165,2.6,Recommended,Verified,Low Rating,2022-03-01,2022,3,March
Business,Business Class,London to Barcelona,April 2022,1.0,1.0,1.0,,1.0,1.0,no,yes,86,506,1.0,Not Recommended,Verified,Low Rating,2022-04-01,2022,4,April
Couple Leisure,Business Class,Barbados to Heathrow,March 2022,2.0,3.0,3.0,1.0,4.0,3.0,yes,yes,203,1074,2.6666666666666665,Recommended,Verified,Low Rating,2022-03-01,2022,3,March
